"filename", "language", "JSON", "JavaScript", "SQL", "CSS", "Elixir", "HEEx", "HTML", "Markdown", "XML", "Graphviz (DOT)", "comment", "blank", "total"
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/channels/user_socket.ex", "Elixir", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 8, 47
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/controllers/github_auth_controller.ex", "Elixir", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/controllers/google_auth_controller.ex", "Elixir", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/controllers/mail_controller.ex", "Elixir", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 5, 11, 112
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/controllers/page_controller.ex", "Elixir", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/controllers/welcome_controller.ex", "Elixir", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/endpoint.ex", "Elixir", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 10, 10, 56
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/gettext.ex", "Elixir", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 7, 25
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/forms/new_event.ex", "Elixir", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 2, 12, 79
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/forms/query_picker.ex", "Elixir", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 15, 26, 165
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/map_comp.ex", "Elixir", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 5, 15, 94
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/map_live.ex", "Elixir", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 14, 20, 124
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/participants.ex", "Elixir", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/tables/new_event_table.ex", "Elixir", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 9, 88
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/tables/selected_events.ex", "Elixir", 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 15, 19, 193
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/router.ex", "Elixir", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 16, 13, 65
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/telemetry.ex", "Elixir", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 10, 8, 72
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/email/confirmation.html.heex", "HEEx", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/email/demande.html.heex", "HEEx", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/layout/app.html.heex", "HEEx", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/layout/live.html.heex", "HEEx", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/layout/root.html.heex", "HEEx", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 3, 29
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/page/index.html.heex", "HEEx", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 53
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/page/request.html.heex", "HEEx", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 13, 44
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/page/welcome.html.heex", "HEEx", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/welcome/welcome.html.heex", "HEEx", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/datalist_input.ex", "Elixir", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/demande_participate_view.ex", "Elixir", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/email_view.ex", "Elixir", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/error_helpers.ex", "Elixir", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 17, 4, 48
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/error_view.ex", "Elixir", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 8, 3, 17
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/github_auth_view.ex", "Elixir", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/google_auth_view.ex", "Elixir", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/layout_view.ex", "Elixir", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 2, 9
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/page_view.ex", "Elixir", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/welcome_view.ex", "Elixir", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/nevendrean/code/elixir/live_map/mix.exs", "Elixir", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 17, 8, 87
