Date : 2022-10-10 13:41:09
Directory : /Users/nevendrean/code/elixir/live_map
Total : 99 files,  3898 codes, 698 comments, 706 blanks, all 5302 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/nevendrean/code/elixir/live_map/config/test.exs                                            | Elixir         |         15 |         10 |          6 |         31 |
| /Users/nevendrean/code/elixir/live_map/ecto_erd.dot                                               | Graphviz (DOT) |         11 |          0 |          2 |         13 |
| /Users/nevendrean/code/elixir/live_map/events.sql                                                 | SQL            |         61 |         32 |         23 |        116 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map.ex                                            | Elixir         |          8 |          0 |          2 |         10 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map/application.ex                                | Elixir         |         25 |          5 |          5 |         35 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map/changesets/new_event.ex                       | Elixir         |         26 |          0 |          6 |         32 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map/changesets/query_picker.ex                    | Elixir         |         31 |          0 |          9 |         40 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map/geojson.ex                                    | Elixir         |         47 |          2 |          6 |         55 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map/postgres_types.ex                             | Elixir         |          5 |          0 |          1 |          6 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map/repo.ex                                       | Elixir         |        136 |          1 |         14 |        151 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map/schemas/event_participants.ex                 | Elixir         |        181 |          6 |         23 |        210 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map/schemas/events.ex                             | Elixir         |         92 |          1 |         13 |        106 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map/schemas/users.ex                              | Elixir         |         46 |          2 |         10 |         58 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map/token.ex                                      | Elixir         |         66 |          1 |          5 |         72 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_mail/email.ex                                 | Elixir         |         39 |          0 |          7 |         46 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_mail/mailer.ex                                | Elixir         |          3 |          0 |          1 |          4 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_mail/templates/email/confirmation.html.heex   | HEEx           |         10 |          0 |          0 |         10 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_mail/templates/email/demande.html.heex        | HEEx           |         11 |          0 |          0 |         11 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web.ex                                        | Elixir         |         83 |          5 |         24 |        112 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/channels/event_channel.ex                 | Elixir         |          7 |         26 |          7 |         40 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/channels/presence.ex                      | Elixir         |         10 |          0 |          2 |         12 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/channels/user_socket.ex                   | Elixir         |         35 |          4 |          8 |         47 |
